"","Station","Year","Month","Median"
"151","Hamilton_West_Hamilton_Mountain",2018,"July",22
"152","Hamilton_West_Hamilton_Mountain",2018,"August",22.3
"153","Hamilton_West_Hamilton_Mountain",2018,"September",18.55
"154","Hamilton_West_Hamilton_Mountain",2018,"October",6.7
"155","Hamilton_West_Hamilton_Mountain",2018,"November",-0.05
"156","Hamilton_West_Hamilton_Mountain",2018,"December",-0.3
"157","Hamilton_West_Hamilton_Mountain",2019,"January",-7.2
"158","Hamilton_West_Hamilton_Mountain",2019,"February",-3.15
"159","Hamilton_West_Hamilton_Mountain",2019,"March",-0.2
"160","Hamilton_West_Hamilton_Mountain",2019,"April",5
"161","Hamilton_West_Hamilton_Mountain",2019,"May",11.6
"162","Hamilton_West_Hamilton_Mountain",2019,"June",17.7
"163","Hamilton_West_Hamilton_Mountain",2019,"July",21.9
"164","Hamilton_West_Hamilton_Mountain",2019,"August",20
"165","Hamilton_West_Hamilton_Mountain",2019,"September",16.95
"166","Hamilton_West_Hamilton_Mountain",2019,"October",10.2
"167","Hamilton_West_Hamilton_Mountain",2019,"November",1.2
"168","Hamilton_West_Hamilton_Mountain",2019,"December",-1.15
"169","Hamilton_West_Hamilton_Mountain",2020,"January",-1.9
"170","Hamilton_West_Hamilton_Mountain",2020,"February",-5.6
"171","Hamilton_West_Hamilton_Mountain",2020,"March",3.7
"172","Hamilton_West_Hamilton_Mountain",2020,"April",5.3
"173","Hamilton_West_Hamilton_Mountain",2020,"May",10.8
"174","Hamilton_West_Hamilton_Mountain",2020,"June",20.5
"175","Hamilton_West_Hamilton_Mountain",2020,"July",23.2
"176","Hamilton_West_Hamilton_Mountain",2020,"August",20.4
"177","Hamilton_West_Hamilton_Mountain",2020,"September",16.05
"178","Hamilton_West_Hamilton_Mountain",2020,"October",10.45
"179","Hamilton_West_Hamilton_Mountain",2020,"November",5.1
"180","Hamilton_West_Hamilton_Mountain",2020,"December",0.5
"181","Kitchener_Waterloo",2017,"January",0.1
"182","Kitchener_Waterloo",2017,"February",-3.45
"183","Kitchener_Waterloo",2017,"March",1.2
"184","Kitchener_Waterloo",2017,"April",7.75
"185","Kitchener_Waterloo",2017,"May",11.3
"186","Kitchener_Waterloo",2017,"June",16.95
"187","Kitchener_Waterloo",2017,"July",20.3
"188","Kitchener_Waterloo",2017,"August",18.9
"189","Kitchener_Waterloo",2017,"September",17.9
"190","Kitchener_Waterloo",2017,"October",12.15
"191","Kitchener_Waterloo",2017,"November",2
"192","Kitchener_Waterloo",2017,"December",-4.3
"193","Kitchener_Waterloo",2018,"January",-8.3
"194","Kitchener_Waterloo",2018,"February",-2.95
"195","Kitchener_Waterloo",2018,"March",-1.15
"196","Kitchener_Waterloo",2018,"April",0.7
"197","Kitchener_Waterloo",2018,"May",15.3
"198","Kitchener_Waterloo",2018,"June",17
"199","Kitchener_Waterloo",2018,"July",20.6
"200","Kitchener_Waterloo",2018,"August",21.4
"201","Kitchener_Waterloo",2018,"September",17.8
"202","Kitchener_Waterloo",2018,"October",6.7
"203","Kitchener_Waterloo",2018,"November",-0.65
"204","Kitchener_Waterloo",2018,"December",-1.7
"205","Kitchener_Waterloo",2019,"January",-6.7
"206","Kitchener_Waterloo",2019,"February",-3.7
"207","Kitchener_Waterloo",2019,"March",-1.1
"208","Kitchener_Waterloo",2019,"April",5.3
"209","Kitchener_Waterloo",2019,"May",11.1
"210","Kitchener_Waterloo",2019,"June",16.7
"211","Kitchener_Waterloo",2019,"July",20.85
"212","Kitchener_Waterloo",2019,"August",19
"213","Kitchener_Waterloo",2019,"September",15.6
"214","Kitchener_Waterloo",2019,"October",9
"215","Kitchener_Waterloo",2019,"November",0.4
"216","Kitchener_Waterloo",2019,"December",-1.95
"217","Kitchener_Waterloo",2020,"January",-3.2
"218","Kitchener_Waterloo",2020,"February",-5.95
"219","Kitchener_Waterloo",2020,"March",2.8
"220","Kitchener_Waterloo",2020,"April",5
"221","Kitchener_Waterloo",2020,"May",11.2
"222","Kitchener_Waterloo",2020,"June",19.4
"223","Kitchener_Waterloo",2020,"July",21.8
"224","Kitchener_Waterloo",2020,"August",19.3
"225","Kitchener_Waterloo",2020,"September",15.3
"226","Kitchener_Waterloo",2020,"October",8.95
"227","Kitchener_Waterloo",2020,"November",4.4
"228","Kitchener_Waterloo",2020,"December",-1.4
"229","London",2017,"January",1
"230","London",2017,"February",-1.9
"231","London",2017,"March",2
"232","London",2017,"April",8.85
"233","London",2017,"May",11.9
"234","London",2017,"June",17.45
"235","London",2017,"July",20.8
"236","London",2017,"August",19.7
"237","London",2017,"September",18.4
"238","London",2017,"October",12.65
"239","London",2017,"November",2.2
"240","London",2017,"December",-3
"241","London",2018,"January",-7.3
"242","London",2018,"February",-2.2
"243","London",2018,"March",-1.5
"244","London",2018,"April",2.4
"245","London",2018,"May",16.2
"246","London",2018,"June",17.7
"247","London",2018,"July",20.9
"248","London",2018,"August",21.4
"249","London",2018,"September",18.4
"250","London",2018,"October",6.4
"251","London",2018,"November",-1.15
"252","London",2018,"December",-0.8
"253","London",2019,"January",-6.5
"254","London",2019,"February",-3.6
"255","London",2019,"March",-0.3
"256","London",2019,"April",5.9
"257","London",2019,"May",11.8
"258","London",2019,"June",17.5
"259","London",2019,"July",21.9
"260","London",2019,"August",20.1
"261","London",2019,"September",17.6
"262","London",2019,"October",10
"263","London",2019,"November",1.5
"264","London",2019,"December",-0.7
"265","London",2020,"January",-1.5
"266","London",2020,"February",-4.8
"267","London",2020,"March",3.35
"268","London",2020,"April",5.65
"269","London",2020,"May",11.8
"270","London",2020,"June",19.95
"271","London",2020,"July",23
"272","London",2020,"August",19.5
"273","London",2020,"September",16.15
"274","London",2020,"October",10.15
"275","London",2020,"November",5
"276","London",2020,"December",-0.6
"277","Ottawa_Downtown",2017,"January",-2.3
"278","Ottawa_Downtown",2017,"February",-6.5
"279","Ottawa_Downtown",2017,"March",-3.5
"280","Ottawa_Downtown",2017,"April",6.8
"281","Ottawa_Downtown",2017,"May",13.6
"282","Ottawa_Downtown",2017,"June",17.75
"283","Ottawa_Downtown",2017,"July",20.95
"284","Ottawa_Downtown",2017,"August",19.6
"285","Ottawa_Downtown",2017,"September",18.9
"286","Ottawa_Downtown",2017,"October",12.6
"287","Ottawa_Downtown",2017,"November",0.75
"288","Ottawa_Downtown",2017,"December",-7.3
"289","Ottawa_Downtown",2018,"January",-10.9
"290","Ottawa_Downtown",2018,"February",-3.85
"291","Ottawa_Downtown",2018,"March",-0.75
"292","Ottawa_Downtown",2018,"April",2.6
"293","Ottawa_Downtown",2018,"May",15.7
"294","Ottawa_Downtown",2018,"June",16.8
"295","Ottawa_Downtown",2018,"July",22.7
"296","Ottawa_Downtown",2018,"August",21.7
"297","Ottawa_Downtown",2018,"September",16.9
"298","Ottawa_Downtown",2018,"October",7.6
"299","Ottawa_Downtown",2018,"November",-0.4
"300","Ottawa_Downtown",2018,"December",-7.4
"301","Ottawa_Downtown",2019,"January",-13.2
"302","Ottawa_Downtown",2019,"February",-7.3
"303","Ottawa_Downtown",2019,"March",-3.5
"304","Ottawa_Downtown",2019,"April",4.8
"305","Ottawa_Downtown",2019,"May",10.8
"306","Ottawa_Downtown",2019,"June",16.6
"307","Ottawa_Downtown",2019,"July",23
"308","Ottawa_Downtown",2019,"August",19.95
"309","Ottawa_Downtown",2019,"September",14.6
"310","Ottawa_Downtown",2019,"October",9.6
"311","Ottawa_Downtown",2019,"November",-0.5
"312","Ottawa_Downtown",2019,"December",-3.35
"313","Ottawa_Downtown",2020,"January",-7.4
"314","Ottawa_Downtown",2020,"February",-6.3
"315","Ottawa_Downtown",2020,"March",0.95
"316","Ottawa_Downtown",2020,"April",4.1
"317","Ottawa_Downtown",2020,"May",12.75
"318","Ottawa_Downtown",2020,"June",19.2
"319","Ottawa_Downtown",2020,"July",23.2
"320","Ottawa_Downtown",2020,"August",19.5
"321","Ottawa_Downtown",2020,"September",14.1
"322","Ottawa_Downtown",2020,"October",7.5
"323","Ottawa_Downtown",2020,"November",2.7
"324","Ottawa_Downtown",2020,"December",-2.3
"325","Parry_Sound",2017,"January",-1
"326","Parry_Sound",2017,"February",-5.15
"327","Parry_Sound",2017,"March",-2.6
"328","Parry_Sound",2017,"April",5.6
"329","Parry_Sound",2017,"May",10.75
"330","Parry_Sound",2017,"June",16.4
"331","Parry_Sound",2017,"July",19.6
"332","Parry_Sound",2017,"August",19
"333","Parry_Sound",2017,"September",17.2
"334","Parry_Sound",2017,"October",13.15
"335","Parry_Sound",2017,"November",2.25
"336","Parry_Sound",2017,"December",-9.2
"337","Parry_Sound",2018,"January",-9.1
"338","Parry_Sound",2018,"April",3.7
"339","Parry_Sound",2018,"May",13.2
"340","Parry_Sound",2018,"June",17
"341","Parry_Sound",2018,"July",21.7
"342","Parry_Sound",2018,"August",21.4
"343","Parry_Sound",2018,"September",16.8
"344","Parry_Sound",2018,"October",7
"345","Parry_Sound",2018,"November",0
"346","Parry_Sound",2018,"December",-2.8
"347","Parry_Sound",2019,"January",-10.2
"348","Parry_Sound",2019,"February",-8.55
"349","Parry_Sound",2019,"March",-3.8
"350","Parry_Sound",2019,"April",3.1
"351","Parry_Sound",2019,"May",9.45
"352","Parry_Sound",2019,"June",15.6
"353","Parry_Sound",2019,"July",20.7
"354","Parry_Sound",2019,"August",19.45
"355","Parry_Sound",2019,"September",15.6
"356","Parry_Sound",2019,"October",9.1
"357","Parry_Sound",2019,"November",1
"358","Parry_Sound",2019,"December",-2.55
"359","Parry_Sound",2020,"January",-4
"360","Parry_Sound",2020,"February",-4.9
"361","Parry_Sound",2020,"March",1.2
"362","Parry_Sound",2020,"April",3
"363","Parry_Sound",2020,"May",10
"364","Parry_Sound",2020,"June",17.75
"365","Parry_Sound",2020,"July",21.6
"366","Parry_Sound",2020,"August",18.7
"367","Parry_Sound",2020,"September",13.9
"368","Parry_Sound",2020,"October",7.75
"369","Parry_Sound",2020,"November",4.6
"370","Parry_Sound",2020,"December",-1.8
"371","Sarnia",2017,"January",0.7
"372","Sarnia",2017,"February",0.1
"373","Sarnia",2017,"March",0.45
"374","Sarnia",2017,"April",9.15
"375","Sarnia",2017,"May",14.55
"376","Sarnia",2017,"June",19.15
"377","Sarnia",2017,"July",21.35
"378","Sarnia",2017,"August",20.8
"379","Sarnia",2017,"September",18.5
"380","Sarnia",2017,"October",13.35
"381","Sarnia",2017,"November",3.7
"382","Sarnia",2017,"December",-5.4
"383","Sarnia",2018,"January",-5.8
"384","Sarnia",2018,"February",-2.35
"385","Sarnia",2018,"March",-1.1
"386","Sarnia",2018,"April",2.7
"387","Sarnia",2018,"May",15.6
"388","Sarnia",2018,"June",18.1
"389","Sarnia",2018,"July",21.5
"390","Sarnia",2018,"August",22.1
"391","Sarnia",2018,"September",18
"392","Sarnia",2018,"October",8.3
"393","Sarnia",2018,"November",-0.25
"394","Sarnia",2018,"December",0.1
"395","Sarnia",2019,"January",-5
"396","Sarnia",2019,"February",-2.85
"397","Sarnia",2019,"March",1.1
"398","Sarnia",2019,"April",5.45
"399","Sarnia",2019,"May",12.3
"400","Sarnia",2019,"June",16.9
"401","Sarnia",2019,"July",22.3
"402","Sarnia",2019,"August",21.4
"403","Sarnia",2019,"September",18.2
"404","Sarnia",2019,"October",11.2
"405","Sarnia",2019,"November",1.7
"406","Sarnia",2019,"December",0.9
"407","Sarnia",2020,"January",-0.6
"408","Sarnia",2020,"February",-3.05
"409","Sarnia",2020,"March",3.5
"410","Sarnia",2020,"April",4.05
"411","Sarnia",2020,"May",13.5
"412","Sarnia",2020,"June",20.35
"413","Sarnia",2020,"July",23.5
"414","Sarnia",2020,"August",20.1
"415","Sarnia",2020,"September",15.8
"416","Sarnia",2020,"October",11.7
"417","Sarnia",2020,"November",6.1
"418","Sarnia",2020,"December",0.9
"419","Toronto_Downtown",2017,"January",1.5
"420","Toronto_Downtown",2017,"February",0.4
"421","Toronto_Downtown",2017,"March",1.6
"422","Toronto_Downtown",2017,"April",7.8
"423","Toronto_Downtown",2017,"May",11.6
"424","Toronto_Downtown",2017,"June",17.6
"425","Toronto_Downtown",2017,"July",20.9
"426","Toronto_Downtown",2017,"August",20.05
"427","Toronto_Downtown",2017,"September",17.3
"428","Toronto_Downtown",2017,"October",14.4
"429","Toronto_Downtown",2017,"November",5.55
"430","Toronto_Downtown",2017,"December",-3.6
"431","Toronto_Downtown",2018,"January",-4.8
"432","Toronto_Downtown",2018,"February",0.1
"433","Toronto_Downtown",2018,"March",1.2
"434","Toronto_Downtown",2018,"April",2.9
"435","Toronto_Downtown",2018,"May",13.6
"436","Toronto_Downtown",2018,"June",18
"437","Toronto_Downtown",2018,"July",23
"438","Toronto_Downtown",2018,"August",23.4
"439","Toronto_Downtown",2018,"September",19.8
"440","Toronto_Downtown",2018,"October",9.6
"441","Toronto_Downtown",2018,"November",1.85
"442","Toronto_Downtown",2018,"December",0.9
"443","Toronto_Downtown",2019,"January",-3.8
"444","Toronto_Downtown",2019,"February",-2.35
"445","Toronto_Downtown",2019,"March",0.75
"446","Toronto_Downtown",2019,"April",6.05
"447","Toronto_Downtown",2019,"May",11.05
"448","Toronto_Downtown",2019,"June",17.1
"449","Toronto_Downtown",2019,"July",21
"450","Toronto_Downtown",2019,"August",21.3
"451","Toronto_Downtown",2019,"September",17.7
"452","Toronto_Downtown",2019,"October",11.5
"453","Toronto_Downtown",2019,"November",2.7
"454","Toronto_Downtown",2019,"December",0.9
"455","Toronto_Downtown",2020,"January",-0.7
"456","Toronto_Downtown",2020,"February",-2.1
"457","Toronto_Downtown",2020,"March",4
"458","Toronto_Downtown",2020,"April",6.4
"459","Toronto_Downtown",2020,"May",11.5
"460","Toronto_Downtown",2020,"June",18.7
"461","Toronto_Downtown",2020,"July",23.3
"462","Toronto_Downtown",2020,"August",20.9
"463","Toronto_Downtown",2020,"September",16.95
"464","Toronto_Downtown",2020,"October",10.95
"465","Toronto_Downtown",2020,"November",7.2
"466","Toronto_Downtown",2020,"December",1.2
"467","Toronto_East",2018,"October",5
"468","Toronto_East",2018,"November",1
"469","Toronto_East",2018,"December",-1.1
"470","Toronto_East",2019,"January",-6.7
"471","Toronto_East",2019,"February",-4.8
"472","Toronto_East",2019,"March",-0.6
"473","Toronto_East",2019,"April",6.3
"474","Toronto_East",2019,"May",11.4
"475","Toronto_East",2019,"June",18.5
"476","Toronto_East",2019,"July",22.6
"477","Toronto_East",2019,"August",21.1
"478","Toronto_East",2019,"September",16.4
"479","Toronto_East",2019,"October",9.4
"480","Toronto_East",2019,"November",1.4
"481","Toronto_East",2019,"December",-1.65
"482","Toronto_East",2020,"January",-2.8
"483","Toronto_East",2020,"February",-4.05
"484","Toronto_East",2020,"March",2.85
"485","Toronto_East",2020,"April",5.6
"486","Toronto_East",2020,"May",12.8
"487","Toronto_East",2020,"June",20.7
"488","Toronto_East",2020,"July",23.5
"489","Toronto_East",2020,"August",20.6
"490","Toronto_East",2020,"September",15.65
"491","Toronto_East",2020,"October",9.85
"492","Toronto_East",2020,"November",5.4
"493","Toronto_East",2020,"December",-0.1
"494","Toronto_North",2017,"January",2.3
"495","Toronto_North",2017,"February",-0.4
"496","Toronto_North",2017,"March",2
"497","Toronto_North",2017,"April",8
"498","Toronto_North",2017,"May",10.7
"499","Toronto_North",2017,"June",18.3
"500","Toronto_North",2017,"July",21.8
"501","Toronto_North",2017,"August",21
"502","Toronto_North",2017,"September",20.3
"503","Toronto_North",2017,"October",14.2
"504","Toronto_North",2017,"November",5.3
"505","Toronto_North",2017,"December",-3.8
"506","Toronto_North",2018,"January",-5.3
"507","Toronto_North",2018,"February",-0.4
"508","Toronto_North",2018,"March",1.25
"509","Toronto_North",2018,"April",3.5
"510","Toronto_North",2018,"May",17.1
"511","Toronto_North",2018,"June",19
"512","Toronto_North",2018,"July",23.8
"513","Toronto_North",2018,"August",23.8
"514","Toronto_North",2018,"September",19.6
"515","Toronto_North",2018,"October",9
"516","Toronto_North",2018,"November",2
"517","Toronto_North",2018,"December",0.75
"518","Toronto_North",2019,"January",-4
"519","Toronto_North",2019,"February",-2.55
"520","Toronto_North",2019,"March",1
"521","Toronto_North",2019,"April",7.9
"522","Toronto_North",2019,"May",12.4
"523","Toronto_North",2019,"June",18.65
"524","Toronto_North",2019,"July",23.4
"525","Toronto_North",2019,"August",22.2
"526","Toronto_North",2019,"September",18
"527","Toronto_North",2019,"October",11.2
"528","Toronto_North",2019,"November",3
"529","Toronto_North",2019,"December",0.4
"530","Toronto_North",2020,"January",-0.55
"531","Toronto_North",2020,"February",-2.35
"532","Toronto_North",2020,"March",4.8
"533","Toronto_North",2020,"April",6.65
"534","Toronto_North",2020,"May",13.5
"535","Toronto_North",2020,"June",21.3
"536","Toronto_North",2020,"July",24.6
"537","Toronto_North",2020,"August",21.45
"538","Toronto_North",2020,"September",17.1
"539","Toronto_North",2020,"October",11.45
"540","Toronto_North",2020,"November",7.3
"541","Toronto_North",2020,"December",1.7
"542","Toronto_West",2017,"January",0.55
"543","Toronto_West",2017,"February",-1.8
"544","Toronto_West",2017,"March",1.9
"545","Toronto_West",2017,"April",8.65
"546","Toronto_West",2017,"May",12.9
"547","Toronto_West",2017,"June",18.45
"548","Toronto_West",2017,"July",22.5
"549","Toronto_West",2017,"August",20.3
"550","Toronto_West",2017,"September",20.3
"551","Toronto_West",2017,"October",13.8
"552","Toronto_West",2017,"November",3.8
"553","Toronto_West",2017,"December",-4.7
"554","Toronto_West",2018,"January",-6.6
"555","Toronto_West",2018,"February",-1.3
"556","Toronto_West",2018,"March",0
"557","Toronto_West",2018,"April",2.6
"558","Toronto_West",2018,"May",16.6
"559","Toronto_West",2018,"June",18.4
"560","Toronto_West",2018,"July",23.9
"561","Toronto_West",2018,"August",23.2
"562","Toronto_West",2018,"September",19.2
"563","Toronto_West",2018,"October",8.2
"564","Toronto_West",2018,"November",0.85
"565","Toronto_West",2018,"December",-0.1
"566","Toronto_West",2019,"January",-5.4
"567","Toronto_West",2019,"February",-3.75
"568","Toronto_West",2019,"March",0.1
"569","Toronto_West",2019,"April",6.4
"570","Toronto_West",2019,"May",11.75
"571","Toronto_West",2019,"June",18.75
"572","Toronto_West",2019,"July",23.3
"573","Toronto_West",2019,"August",21.35
"574","Toronto_West",2019,"September",17.2
"575","Toronto_West",2019,"October",10.4
"576","Toronto_West",2019,"November",1.5
"577","Toronto_West",2019,"December",-1.05
"578","Toronto_West",2020,"January",-1.7
"579","Toronto_West",2020,"February",-3.5
"580","Toronto_West",2020,"March",3.75
"581","Toronto_West",2020,"April",6.1
"582","Toronto_West",2020,"May",13.2
"583","Toronto_West",2020,"June",20.95
"584","Toronto_West",2020,"July",24.3
"585","Toronto_West",2020,"August",21.2
"586","Toronto_West",2020,"September",16.25
"587","Toronto_West",2020,"October",10.75
"588","Toronto_West",2020,"November",6.4
"589","Toronto_West",2020,"December",0.4
"590","Windsor_Downtown_Windsor_West",2017,"January",2.3
"591","Windsor_Downtown_Windsor_West",2017,"February",2.2
"592","Windsor_Downtown_Windsor_West",2017,"March",3.2
"593","Windsor_Downtown_Windsor_West",2017,"April",11.55
"594","Windsor_Downtown_Windsor_West",2017,"May",14.4
"595","Windsor_Downtown_Windsor_West",2017,"June",19.65
"596","Windsor_Downtown_Windsor_West",2017,"July",22.5
"597","Windsor_Downtown_Windsor_West",2017,"August",21.4
"598","Windsor_Downtown_Windsor_West",2017,"September",18.4
"599","Windsor_Downtown_Windsor_West",2017,"October",13.3
"600","Windsor_Downtown_Windsor_West",2017,"November",4.2
"601","Windsor_Downtown_Windsor_West",2017,"December",-2.9
"602","Windsor_Downtown_Windsor_West",2018,"January",-3.2
"603","Windsor_Downtown_Windsor_West",2018,"February",-0.8
"604","Windsor_Downtown_Windsor_West",2018,"March",0.7
"605","Windsor_Downtown_Windsor_West",2018,"April",5.2
"606","Windsor_Downtown_Windsor_West",2018,"May",17.1
"607","Windsor_Downtown_Windsor_West",2018,"June",20.6
"608","Windsor_Downtown_Windsor_West",2018,"July",22.95
"609","Windsor_Downtown_Windsor_West",2018,"August",23.4
"610","Windsor_Downtown_Windsor_West",2018,"September",19.35
"611","Windsor_Downtown_Windsor_West",2018,"October",7.9
"612","Windsor_Downtown_Windsor_West",2018,"November",7.3
"613","Windsor_Downtown_Windsor_West",2019,"January",-4.1
"614","Windsor_Downtown_Windsor_West",2019,"February",-2.35
"615","Windsor_Downtown_Windsor_West",2019,"March",1.7
"616","Windsor_Downtown_Windsor_West",2019,"April",8.55
"617","Windsor_Downtown_Windsor_West",2019,"May",14.6
"618","Windsor_Downtown_Windsor_West",2019,"June",18.7
